Key,Chinese (Traditional)(zh-TW)
惡犬幽靈.Talk09,如果有來世，我想再守一次門。
惡犬幽靈.Talk10,汪…（聲音逐漸消散）
腐爛泥怪.Talk01,咕嚕…我是不是…食物？
腐爛泥怪.Talk02,啊…這一下黏住了。
腐爛泥怪.Talk03,那隻烏鴉又叼走了我的骨頭！
腐爛泥怪.Talk04,積水…好舒服…我快要融化了～
腐爛泥怪.Talk05,我…可以變大嗎？不行？好吧。
腐爛泥怪.Talk06,那把掃帚一直掃我！我又不是垃圾！
腐爛泥怪.Talk07,狸貓說…我還能再活一天。
腐爛泥怪.Talk08,嘿，小貓，你不怕臭味嗎？
腐爛泥怪.Talk09,我覺得自己在被拉扯…要散開了。
腐爛泥怪.Talk10,嘶…我回收完畢了…
被詛咒的掃帚.Talk01,塵埃、歸於塵埃…咒文仍在。
被詛咒的掃帚.Talk02,別碰我！我的毛…不是給貓磨的！
被詛咒的掃帚.Talk03,我曾經…服侍過一位學徒。
被詛咒的掃帚.Talk04,這條巷的幽火，還沒熄滅啊。
被詛咒的掃帚.Talk05,那條狗…還在等主人嗎？
被詛咒的掃帚.Talk06,黏液沾在我身上？可惡，太髒了！
被詛咒的掃帚.Talk07,獨眼之王命我清除一切塵埃。
被詛咒的掃帚.Talk08,啊…那光…那是魔法殘響！
被詛咒的掃帚.Talk09,你打倒了狸貓王？那我的使命也結束了。
被詛咒的掃帚.Talk10,呼…終於可以休息了…
黑巷之王-獨眼狸貓.Talk01,……原來你就是那隻從箱子裡爬出的貓。
黑巷之王-獨眼狸貓.Talk02,我的巷子，不歡迎新主。
黑巷之王-獨眼狸貓.Talk03,你踩過的每個水坑，都有我留下的血。
黑巷之王-獨眼狸貓.Talk04,那群鼠、那隻烏鴉、那條狗……都曾在我麾下。
黑巷之王-獨眼狸貓.Talk05,光照在我瞎掉的眼上…真刺痛啊。
黑巷之王-獨眼狸貓.Talk06,你眼中的火，和我年輕時一樣。
黑巷之王-獨眼狸貓.Talk07,別以為這場戰鬥只是新手教學。
黑巷之王-獨眼狸貓.Talk08,那個掃帚…還在為我掃地嗎？呵。
黑巷之王-獨眼狸貓.Talk09,我輸給你，不是因為弱…是因為我終於能休息了。
黑巷之王-獨眼狸貓.Talk10,去吧，小傢伙——這條巷子，交給你了。
跳跳蘑菇精.Talk01,嘿嘿～踩我一下就會彈高喔！
跳跳蘑菇精.Talk02,痛痛痛！我不是彈珠啊！
跳跳蘑菇精.Talk03,那個光…是發光蘑菇？還是我的表親？
跳跳蘑菇精.Talk04,我在這裡彈了三百年，都沒跳出森林。
跳跳蘑菇精.Talk05,那隻偷魚的小精靈老搶我地盤！
跳跳蘑菇精.Talk06,別靠近那個泉水…我曾掉進去三次！
跳跳蘑菇精.Talk07,葉影獸說要我安靜點…可我天生會彈啊！
跳跳蘑菇精.Talk08,哎呀～你踩我太多次，我快要…孢子化了！
跳跳蘑菇精.Talk09,森林之眼又在看我們了…我不敢動。
跳跳蘑菇精.Talk10,嗚哇～我要飛起來了～！
偷魚精靈.Talk01,別靠近我的魚！這可是我辛苦偷來的！
偷魚精靈.Talk02,啊！你踩壞我的翅膀了啦～！
偷魚精靈.Talk03,你有沒有看到一隻會跳的蘑菇？牠欠我魚！
偷魚精靈.Talk04,我才不怕霧氣，那只是森林的呼吸。
偷魚精靈.Talk05,嘿嘿～那個泉水裡的倒影，其實是假的。
偷魚精靈.Talk06,葉影獸總是偷看我洗魚，好變態。
偷魚精靈.Talk07,喂！你怎麼能比我更快！？
偷魚精靈.Talk08,那隻銀角鹿…曾經救過我，但我還是偷牠的魚。
偷魚精靈.Talk09,你這樣打我，我的魚湯都灑出來了！
偷魚精靈.Talk10,好啦好啦…這條魚給你，別再打了。
變色葉影獸.Talk01,……你看不見我，看不見我。
變色葉影獸.Talk02,誰踩到我的尾巴！？
變色葉影獸.Talk03,這片霧，會吞下聲音。別太大聲。
變色葉影獸.Talk04,偷魚精靈那傢伙太吵，我都沒法狩獵。
變色葉影獸.Talk05,我的皮膚能反射月光，看起來像銀角的光。
變色葉影獸.Talk06,藤蔓那傢伙…喜歡纏我，超煩。
變色葉影獸.Talk07,我曾見過鹿王的幻影…牠不屬於這世界。
變色葉影獸.Talk08,別讓森林之眼看到你…牠會記住氣味。
變色葉影獸.Talk09,葉片顫動…代表獵物在靠近。
變色葉影獸.Talk10,哼，獵人被獵物擊倒，真諷刺。
惡意藤蔓.Talk01,……生長、糾纏、吞噬。
惡意藤蔓.Talk02,你掙扎得越多，我纏得越緊。
惡意藤蔓.Talk03,魔力…好甜的味道。
惡意藤蔓.Talk04,蘑菇精的孢子是最好的養分。
惡意藤蔓.Talk05,霧氣讓我更容易伸展～呵呵。
惡意藤蔓.Talk06,那隻鹿的角，我曾想纏住，但牠太強了。
惡意藤蔓.Talk07,小貓，你的毛…很適合做藤枕。
惡意藤蔓.Talk08,泉水裡的倒影…是我留下的記憶。
惡意藤蔓.Talk09,我討厭光，特別是那會動的飛蛾。
惡意藤蔓.Talk10,凋零……也是一種生長。
鬼火飛蛾.Talk01,光，是我的羽毛。
鬼火飛蛾.Talk02,別碰！那是靈火，不是玩具！
鬼火飛蛾.Talk03,霧越濃，我飛得越自由。
鬼火飛蛾.Talk04,那藤蔓總想吸我的光，我才不給。
鬼火飛蛾.Talk05,鹿王的光，與我同源。
鬼火飛蛾.Talk06,發光的蘑菇？太刺眼，我比較溫柔。
鬼火飛蛾.Talk07,那隻偷魚精靈被我的火燒過屁股～呵呵。
鬼火飛蛾.Talk08,光的盡頭，是黑暗的呼喚。
鬼火飛蛾.Talk09,我的翅膀…快融化了。
鬼火飛蛾.Talk10,熄滅吧……讓夜再次完整。
幻影鹿靈-銀角之森王.Talk01,……旅者，你闖入了靈之界。
幻影鹿靈-銀角之森王.Talk02,這片森林，呼吸著古老的夢。
幻影鹿靈-銀角之森王.Talk03,你的爪，沾染了前巷的塵埃。
幻影鹿靈-銀角之森王.Talk04,那群蘑菇與藤蔓，都是我的子民。
幻影鹿靈-銀角之森王.Talk05,妖精泉的光，曾是我心臟的碎片。
幻影鹿靈-銀角之森王.Talk06,小貓，你的靈魂閃著熟悉的火。
幻影鹿靈-銀角之森王.Talk07,我曾見過那巷裡的狸貓……他也曾挑戰我。
幻影鹿靈-銀角之森王.Talk08,別讓森林記住你的氣味，否則你將永不離開。
幻影鹿靈-銀角之森王.Talk09,你讓我想起了遠古的獵手。
幻影鹿靈-銀角之森王.Talk10,銀光散去，萬物歸靜……
幻影鹿靈-銀角之森王.Talk11,願你記得，光與霧，並非敵人。
幻影鹿靈-銀角之森王.Talk12,走吧，下一道邊境在等待。
泡泡水精.Talk01,嘻嘻～氣泡上升～心情也要上升～！
泡泡水精.Talk02,別戳我！那是我的身體啦！
泡泡水精.Talk03,湖水會說話，你聽得見嗎？
泡泡水精.Talk04,那條魚妖又在惡作劇，我才不是玩具！
泡泡水精.Talk05,泡泡裡面藏著祕密喔～
泡泡水精.Talk06,小心那座塔，它會吞噬倒影。
泡泡水精.Talk07,水鬼姊姊總是哭，不知道她為什麼停不下來。
泡泡水精.Talk08,噗嚕～噗嚕～這是我最開心的歌！
泡泡水精.Talk09,我的泡泡…被戳破了嗎？
泡泡水精.Talk10,水面閃光…那是湖王在轉醒的信號。
泡泡水精.Talk11,啪——散成一片閃光。再見啦～
戲水魚妖.Talk01,哈哈～來玩嘛！跳下來啊，小貓！
戲水魚妖.Talk02,喂！不准揮爪！水會濺我眼睛！
戲水魚妖.Talk03,那群泡泡水精整天亂飄，我才是湖裡的主角！
戲水魚妖.Talk04,嘿～想知道湖底有什麼嗎？去問那條龍啊。
戲水魚妖.Talk05,哼，那些古老的建築只是漂亮的墓碑。
戲水魚妖.Talk06,喂！我才沒吃那隻水鬼的鏈子！
戲水魚妖.Talk07,想追我？先學會游泳再說！
戲水魚妖.Talk08,蓮花的光真煩…讓我想睡。
戲水魚妖.Talk09,那龍崽長得太快了，總有一天會吃掉我。
戲水魚妖.Talk10,可惡…居然讓我輸給陸地上的傢伙…
偽裝水草妖.Talk01,……別動。等牠靠近。
偽裝水草妖.Talk02,被發現了！？不可能！
偽裝水草妖.Talk03,魚妖老是扯我葉子，我要勒死牠。
偽裝水草妖.Talk04,那群泡泡…會不會也是陷阱？
偽裝水草妖.Talk05,我從湖底長出，看見古老的夢。
偽裝水草妖.Talk06,水鬼的低語…像是催眠曲。
偽裝水草妖.Talk07,龍崽的尾巴掀起波浪，我差點被拔起來！
偽裝水草妖.Talk08,別讓光照到我…我會枯萎。
偽裝水草妖.Talk09,啊……纏得太緊了……動不了。
偽裝水草妖.Talk10,回歸水底…才是安息。
迷途水鬼.Talk01,……你看見我的鎖鏈了嗎？
迷途水鬼.Talk02,別拉…那是我最後的記憶。
迷途水鬼.Talk03,泡泡水精的笑聲……好久沒聽到了。
迷途水鬼.Talk04,蓮花開合，是靈魂呼吸的節奏。
迷途水鬼.Talk05,我沉在這裡太久，連自己名字都忘了。
迷途水鬼.Talk06,魚妖說要幫我解開鎖鏈……但牠偷走了鑰匙。
迷途水鬼.Talk07,龍崽在夢裡呼吸，那氣息像深淵。
迷途水鬼.Talk08,水面閃光時，湖王就會翻身。
迷途水鬼.Talk09,你能聽見嗎？古老的歌聲，在下面。
迷途水鬼.Talk10,我…終於可以沉下去了。
水龍幼崽.Talk01,嗚嗚…我還不會控制浪！
水龍幼崽.Talk02,那隻貓會游泳嗎？我想看！
水龍幼崽.Talk03,哎呀！別戳我鰭，會痛的！
水龍幼崽.Talk04,魚妖總說要教我潛水，但牠只會偷東西。
水龍幼崽.Talk05,水草妖太陰了，我不敢靠近。
水龍幼崽.Talk06,泡泡水精說我長大後會變壞…那是什麼意思？
水龍幼崽.Talk07,湖王在睡，牠的夢讓整個湖都在搖。
水龍幼崽.Talk08,我好像聽到深處有聲音在叫我。
水龍幼崽.Talk09,別走！陪我玩嘛～
水龍幼崽.Talk10,我不想變成牠那樣……
沉眠的湖王-深淵九頭蛇.Talk01,……是誰，擾我長眠。
沉眠的湖王-深淵九頭蛇.Talk02,這湖的每一滴水，都記得死亡的滋味。
沉眠的湖王-深淵九頭蛇.Talk03,九顆頭，九個夢。你喚醒了其中一個。
沉眠的湖王-深淵九頭蛇.Talk04,泡泡的碎裂聲，是靈魂的回音。
沉眠的湖王-深淵九頭蛇.Talk05,魚妖的笑聲，我在千年前就厭倦了。
沉眠的湖王-深淵九頭蛇.Talk06,鎖鏈纏在我鱗上，是封印，也是詛咒。
沉眠的湖王-深淵九頭蛇.Talk07,我感受到龍崽的氣息……我的血脈在呼喚。
沉眠的湖王-深淵九頭蛇.Talk08,古老的建築，是我夢中的骨骸。
沉眠的湖王-深淵九頭蛇.Talk09,小貓……你不該下來這裡。
沉眠的湖王-深淵九頭蛇.Talk10,每當我醒來，湖就會變紅。
沉眠的湖王-深淵九頭蛇.Talk11,……這一次，我願意沉回深淵。
沉眠的湖王-深淵九頭蛇.Talk12,去吧，帶著我的碎夢離開。
沙塵蠍怪.Talk01,沙粒，是我的殼。風，是我的獵場。
沙塵蠍怪.Talk02,別踩我尾巴！那是我的驕傲！
沙塵蠍怪.Talk03,石碑上的文字？呵，那是我的族語。
沙塵蠍怪.Talk04,那隻木乃伊貓老愛偷我的毒針。
沙塵蠍怪.Talk05,沙暴一來，就連我都會迷路。
沙塵蠍怪.Talk06,聽，那是詛咒的低語在挖掘記憶。
沙塵蠍怪.Talk07,石像守衛？他早就忘了自己為誰而戰。
沙塵蠍怪.Talk08,千年魔神…我聽過牠的怒吼。
沙塵蠍怪.Talk09,風在我身邊旋轉，你卻站不穩。
沙塵蠍怪.Talk10,沙塵歸沙塵…獵人終被埋葬。
活化石像.Talk01,……我仍在守護，早已崩毀的王座。
活化石像.Talk02,你打碎我，也打碎歷史的一角。
活化石像.Talk03,我的拳頭，曾敲響聖殿之門。
活化石像.Talk04,那蠍子太喧囂，讓沙都顫抖。
活化石像.Talk05,石碑的震動，是古王的夢。
活化石像.Talk06,我記得那金色的身影……祂還在嗎？
活化石像.Talk07,貓族的詛咒，是被封印的悲鳴。
活化石像.Talk08,風磨蝕我的身體，但帶不走我的使命。
活化石像.Talk09,……我終於可以倒下了嗎。
活化石像.Talk10,碎裂，也是一種釋放。
詛咒木乃伊貓.Talk01,……別盯著我，這副模樣不是我想要的。
詛咒木乃伊貓.Talk02,每當風沙吹過，我的繃帶就更緊。
詛咒木乃伊貓.Talk03,你以為我死了嗎？呵，我比任何人清醒。
詛咒木乃伊貓.Talk04,蠍怪那傢伙說我偷毒針？那是我的飾品！
詛咒木乃伊貓.Talk05,風中傳來聲音…那是我的族人呼喚。
詛咒木乃伊貓.Talk06,石像守衛…你還記得貓王的名字嗎？
詛咒木乃伊貓.Talk07,那沙狼…總在夜裡嗅我的氣味。
詛咒木乃伊貓.Talk08,金字塔裡的魔神，是我族的詛咒根源。
詛咒木乃伊貓.Talk09,詛咒啊…終於要散了嗎？
詛咒木乃伊貓.Talk10,我…願再見到真正的月光一次。
沙影幻狼.Talk01,……你看不見我，但我看得見你的足跡。
沙影幻狼.Talk02,沙塵是我的皮毛，月光是我的牙。
沙影幻狼.Talk03,木乃伊貓總在低語，牠忘了自己早已無聲。
沙影幻狼.Talk04,風裡有血的味道，還有…舊誓言的氣息。
沙影幻狼.Talk05,那石像仍不肯倒下，真頑固。
沙影幻狼.Talk06,狂風元素？那傢伙沒心，只剩怒。
沙影幻狼.Talk07,我曾追逐鹿靈的幻影，卻只撲向沙塵。
沙影幻狼.Talk08,千年魔神的氣息，讓整片沙都在顫動。
沙影幻狼.Talk09,風停時，我也會消散。
沙影幻狼.Talk10,……記住我的影子吧。
狂風元素.Talk01,呼——我就是風，也是墳墓。
狂風元素.Talk02,你的呼吸太慢，追不上我。
狂風元素.Talk03,沙暴起舞，是我誕生的鼓聲。
狂風元素.Talk04,我曾是神的嘆息，如今成了詛咒的殘響。
狂風元素.Talk05,蠍怪、狼影、貓屍…都曾被我捲入夢中。
狂風元素.Talk06,石碑震動，金字塔呼吸。
狂風元素.Talk07,那魔神的六臂，曾指揮整片風暴。
狂風元素.Talk08,沙塵遮天時，連神都會迷路。
狂風元素.Talk09,停止吧…否則連我都會被撕碎。
狂風元素.Talk10,風散之後，只剩寂靜。
沙暴之王-千年金字塔魔神.Talk01,……誰膽敢喚醒沙之王？
沙暴之王-千年金字塔魔神.Talk02,金字塔的影子，覆蓋所有生者。
沙暴之王-千年金字塔魔神.Talk03,我是詛咒與風的化身。
沙暴之王-千年金字塔魔神.Talk04,你踏過的每粒沙，都是我的眼睛。
沙暴之王-千年金字塔魔神.Talk05,石像、蠍怪、貓屍……都是我的臣民。
沙暴之王-千年金字塔魔神.Talk06,風啊，撕裂這渺小的靈魂。
沙暴之王-千年金字塔魔神.Talk07,千手之咒，銘刻於每一道風痕。
沙暴之王-千年金字塔魔神.Talk08,深淵湖王曾拜於我座下，如今卻沉睡。
沙暴之王-千年金字塔魔神.Talk09,貓族的哀嚎，我仍記得。
沙暴之王-千年金字塔魔神.Talk10,當風停下，王的夢也將終結。
沙暴之王-千年金字塔魔神.Talk11,沙歸沙，塵歸塵——封印，再啟。
沙暴之王-千年金字塔魔神.Talk12,走吧，流浪者。這片荒野不再屬於任何人。
失控魔法書.Talk01,別亂翻我！那是禁咒章節！
失控魔法書.Talk02,頁面撕裂會痛的！
失控魔法書.Talk03,嘶——錯誤的咒語會讓你變成青蛙喔。
失控魔法書.Talk04,我原本只是課本，後來變成警告。
失控魔法書.Talk05,那群元素精靈真吵，沒禮貌的學生。
失控魔法書.Talk06,符文石碑在發光，啊啊啊——又要爆了！
失控魔法書.Talk07,那隻黑貓人曾是圖書館的管理員。
失控魔法書.Talk08,我記得…有位老師，叫黑焰。
失控魔法書.Talk09,頁頁為刃，字字成咒！
失控魔法書.Talk10,……封面合上，永遠的沉默。
暴走元素精靈.Talk01,火！冰！雷！風！我們誰都不服誰！
暴走元素精靈.Talk02,你的體溫太穩定了，讓人不爽！
暴走元素精靈.Talk03,這裡曾是我們的誕生地，如今是戰場。
暴走元素精靈.Talk04,那史萊姆老是偷吸我的能量！
暴走元素精靈.Talk05,咒語殘響！力量暴衝！哈哈哈！
暴走元素精靈.Talk06,魔法陣碎裂的聲音，好懷念啊。
暴走元素精靈.Talk07,黑貓人？牠的靈魂早被燃盡。
暴走元素精靈.Talk08,那面鏡子…映出了我們失控的樣子。
暴走元素精靈.Talk09,太多魔力……我要爆了——！
暴走元素精靈.Talk10,元素歸塵，魔力歸虛。
魔法毒史萊姆.Talk01,咕嚕嚕……知識的味道～
魔法毒史萊姆.Talk02,別踩！會噴！真的會噴！
魔法毒史萊姆.Talk03,我原本是實驗材料…現在是教授。
魔法毒史萊姆.Talk04,那群元素小子，還敢笑我？看毒！
魔法毒史萊姆.Talk05,池水在說話……不，是在尖叫。
魔法毒史萊姆.Talk06,鏡像裡有個像我的東西，噁心～
魔法毒史萊姆.Talk07,那隻黑貓人舔過我一次，然後發瘋了。
魔法毒史萊姆.Talk08,啊～魔力過量了，變形變形變形！
魔法毒史萊姆.Talk09,黑焰之氣在蔓延……他又醒了。
魔法毒史萊姆.Talk10,嘶……知識就是毒。
詛咒黑貓人.Talk01,……安靜點。課堂開始了。
詛咒黑貓人.Talk02,這件制服…早該被焚毀。
詛咒黑貓人.Talk03,你也聽見了吧？那些咒語還在重複。
詛咒黑貓人.Talk04,書本的哭聲、學生的慘叫……都在我腦裡。
詛咒黑貓人.Talk05,那面鏡子模仿我，真想把牠撕碎。
詛咒黑貓人.Talk06,毒史萊姆……曾是我養的實驗體。
詛咒黑貓人.Talk07,黑焰……老師……你毀了這一切。
詛咒黑貓人.Talk08,魔法陣在顫抖，是他在呼吸。
詛咒黑貓人.Talk09,我……不想再背誦詛咒了。
詛咒黑貓人.Talk10,燒吧……連我的影子一起。
被詛咒的鏡像.Talk01,喵……你也是我嗎？
被詛咒的鏡像.Talk02,別看我！我只是你的倒影。
被詛咒的鏡像.Talk03,鏡面扭曲……現實也隨之崩壞。
被詛咒的鏡像.Talk04,那黑貓人越來越像我了。
被詛咒的鏡像.Talk05,魔法陣碎裂的瞬間，我誕生了。
被詛咒的鏡像.Talk06,書頁飄落的聲音，是時間的碎片。
被詛咒的鏡像.Talk07,黑焰的影子……在每個鏡中低語。
被詛咒的鏡像.Talk08,你打不到我，因為你已經變成我。
被詛咒的鏡像.Talk09,破碎的鏡面，是自由的門。
被詛咒的鏡像.Talk10,鏡光熄滅，一切重歸虛無。
墮落大法師-黑焰之貓.Talk01,……學生，還在逃嗎？
墮落大法師-黑焰之貓.Talk02,知識，是火；火，會吞噬一切。
墮落大法師-黑焰之貓.Talk03,這裡的每一塊石頭，都記得我的名字。
墮落大法師-黑焰之貓.Talk04,書本、元素、貓人……都是我的殘骸。
墮落大法師-黑焰之貓.Talk05,黑焰不滅，學院不息。
墮落大法師-黑焰之貓.Talk06,那湖裡的九頭蛇，曾求我教牠思考。
墮落大法師-黑焰之貓.Talk07,巷裡的狸貓、森林的鹿、沙中的王……都只是我書中的故事。
墮落大法師-黑焰之貓.Talk08,鏡像啊，模仿我的怒焰。
墮落大法師-黑焰之貓.Talk09,魔法，是詛咒的另一種形態。
墮落大法師-黑焰之貓.Talk10,我能燒盡世界，也能點亮真理。
墮落大法師-黑焰之貓.Talk11,學生……你通過了考驗。
墮落大法師-黑焰之貓.Talk12,黑焰將熄，而知識將永恆。
迷失的貓魂.Talk01,……你聽見鐘聲了嗎？那是我的心跳。
迷失的貓魂.Talk02,別碰我……我會碎。
迷失的貓魂.Talk03,這裡……曾是我回家的路。
迷失的貓魂.Talk04,那個人偶笑得太大聲了，嚇到我了。
迷失的貓魂.Talk05,霧太濃了，我找不到自己。
迷失的貓魂.Talk06,街燈又在偷看我……那笑容好熟悉。
迷失的貓魂.Talk07,黑霧裡有牠……旅館的主人。
迷失的貓魂.Talk08,有人在呼喚我的名字，但那聲音是空的。
迷失的貓魂.Talk09,燭光熄滅時，我的世界也關上了。
迷失的貓魂.Talk10,……我可以回家了嗎？
詭異人偶.Talk01,呵呵～又有新客人啦。
詭異人偶.Talk02,別拔我的眼睛！那可是活的！
詭異人偶.Talk03,我是被做壞的玩具，還是被做對的詛咒？
詭異人偶.Talk04,貓魂說牠怕我……好可愛。
詭異人偶.Talk05,鐘樓的聲音每敲一下，我的笑容就裂一點。
詭異人偶.Talk06,旅人經過這裡，總會多帶走一個人偶。
詭異人偶.Talk07,燈笑的樣子……就像我當初的主人。
詭異人偶.Talk08,我曾經屬於學院的學生，現在屬於夢。
詭異人偶.Talk09,快樂？悲傷？對我來說都是縫線的樣子。
詭異人偶.Talk10,嘻……你也會變成我的一部分。
亡靈旅人.Talk01,我在找回家的路，但地圖早被風吃掉了。
亡靈旅人.Talk02,你聽見我的骨頭在唱歌嗎？
亡靈旅人.Talk03,這城鎮永遠是夜，我卻還在旅行。
亡靈旅人.Talk04,那個人偶老想幫我縫骨頭。
亡靈旅人.Talk05,燈笑的時候，我的影子也在笑。
亡靈旅人.Talk06,無臉者在巷子裡低語，像在唸經。
亡靈旅人.Talk07,霧裡的旅館，是夢還是墓？
亡靈旅人.Talk08,鐘聲敲第十三下時，門會打開。
亡靈旅人.Talk09,我想起沙漠的風……那比這裡還冷。
亡靈旅人.Talk10,終於……能停下腳步了。
詭笑街燈.Talk01,嗨，小貓，要不要我照亮你？
詭笑街燈.Talk02,哈哈！你嚇到了吧～！
詭笑街燈.Talk03,我不是真的燈，我只是影子的光。
詭笑街燈.Talk04,貓魂在我光下會顫抖，真可愛。
詭笑街燈.Talk05,鐘樓的影子比我還長，但沒我會笑。
詭笑街燈.Talk06,街道上每一盞燈，都是我自己。
詭笑街燈.Talk07,旅館主人說：光越亮，影越深。
詭笑街燈.Talk08,我曾照亮學院的大門，如今照墓碑。
詭笑街燈.Talk09,霧太濃時，我會忘記自己有沒有臉。
詭笑街燈.Talk10,燈滅了……就再也沒有人笑。
無臉幽影.Talk01,……你，看見我了嗎？
無臉幽影.Talk02,臉只是負擔，忘了會輕鬆點。
無臉幽影.Talk03,我模仿每個路過的人，卻從沒學會表情。
無臉幽影.Talk04,燈光會刺痛我，但我還是靠近。
無臉幽影.Talk05,貓魂的眼光太亮，會割傷我。
無臉幽影.Talk06,霧是我的衣服，鐘聲是我的心跳。
無臉幽影.Talk07,旅館主人……是我未完成的樣子。
無臉幽影.Talk08,我想擁有臉，卻忘了怎麼哭。
無臉幽影.Talk09,黑暗裡所有的影子，都在低聲呼喚牠的名。
無臉幽影.Talk10,我消失了，也就天亮了。
詭異旅館主人-沉默之影.Talk01,……歡迎回來。
詭異旅館主人-沉默之影.Talk02,這座城鎮的夜，是我最後的夢。
詭異旅館主人-沉默之影.Talk03,鐘聲響起時，我的房客們就會醒來。
詭異旅館主人-沉默之影.Talk04,貓魂、燈、影……全都是我的孩子。
詭異旅館主人-沉默之影.Talk05,你不該進來，但你已經進來了。
詭異旅館主人-沉默之影.Talk06,我的臉，被掛在每一面牆上的鏡裡。
詭異旅館主人-沉默之影.Talk07,黑焰之貓？他曾在此歇腳，帶走了我的聲音。
詭異旅館主人-沉默之影.Talk08,千年魔神的風，依然吹進這旅館。
詭異旅館主人-沉默之影.Talk09,我不會說話，但整座城鎮替我低語。
詭異旅館主人-沉默之影.Talk10,夜不會結束，因為我就是夜。
詭異旅館主人-沉默之影.Talk11,燭光……熄滅吧。
詭異旅館主人-沉默之影.Talk12,晚安，流浪者。願你永不再醒。
岩石魔像.Talk01,……入侵者。
岩石魔像.Talk02,我的身體，是迷宮的牆。
岩石魔像.Talk03,每一步，都是震撼的審判。
岩石魔像.Talk04,牆在移動，我也隨之甦醒。
岩石魔像.Talk05,那條蜥蜴王總是偷吃我的礦石。
岩石魔像.Talk06,守衛者，不會死亡，只會碎裂。
岩石魔像.Talk07,地縛鬼魂在我腳下哭泣……
岩石魔像.Talk08,深處的鎖鏈在響，是王的召喚。
岩石魔像.Talk09,石裂開時，記憶也會掉落。
岩石魔像.Talk10,……我將再次封閉這條路。
地縛鬼魂.Talk01,我……出不去了。
地縛鬼魂.Talk02,曾經，我也想成為英雄。
地縛鬼魂.Talk03,別碰我的鎖鏈……那是我的墳墓。
地縛鬼魂.Talk04,那石像不會說話，但牠懂悲傷。
地縛鬼魂.Talk05,我記得……上面有光。
地縛鬼魂.Talk06,那猛獸的腳步聲，讓我再次恐懼。
地縛鬼魂.Talk07,鎖鏈魔王……用我的靈魂築成王座。
地縛鬼魂.Talk08,每一次牆壁移動，我就更靠近地獄。
地縛鬼魂.Talk09,我看見自己在流淚……但我沒臉。
地縛鬼魂.Talk10,謝謝你，讓我短暫自由。
洞穴猛獸.Talk01,嗷——這裡是我的巢。
洞穴猛獸.Talk02,黑暗，是我的皮膚。
洞穴猛獸.Talk03,你以為你躲起來了？我能聞到恐懼。
洞穴猛獸.Talk04,那地縛鬼魂的氣味……太甜了。
洞穴猛獸.Talk05,岩石在顫動，是守衛醒來的聲音。
洞穴猛獸.Talk06,蜥蜴王？牠只是更會藏而已。
洞穴猛獸.Talk07,河流下有更大的東西在動。
洞穴猛獸.Talk08,鎖鏈的響聲讓我想逃，但我逃不了。
洞穴猛獸.Talk09,我的眼睛看不見光，只有獵物。
洞穴猛獸.Talk10,我累了……讓迷宮吞了我吧。
幽冥守衛.Talk01,報上名來。
幽冥守衛.Talk02,我生於石，死於魂。
